date,headline,text,symbol,source_type,sentiment_score
2026-06-17,"Eurotex Industries and Exports Ltd Locks at Lower Circuit With 4.98% Loss — Sellers Queue, No Buyers in Sight - Markets Mojo","Eurotex Industries and Exports Ltd Locks at Lower Circuit With 4.98% Loss — Sellers Queue, No Buyers in Sight - Markets Mojo",EUROTEXIND,news_rss,-0.9442854523658752
2025-05-27,Ashapuri Gold Ornament Ltd leads losers in 'B' group - Business Standard,Ashapuri Gold Ornament Ltd leads losers in 'B' group - Business Standard,EUROTEXIND,news_rss,0.0
2026-06-16,Eurotex Industries Downgraded to Strong Sell Amid Weak Fundamentals and Technical Setbacks - Markets Mojo,Eurotex Industries Downgraded to Strong Sell Amid Weak Fundamentals and Technical Setbacks - Markets Mojo,EUROTEXIND,news_rss,-0.9719060063362122
2026-06-15,"Eurotex Industries and Exports Ltd Locks at Upper Circuit With 4.89% Gain — Buyers Queue, Sellers Absent - Markets Mojo","Eurotex Industries and Exports Ltd Locks at Upper Circuit With 4.89% Gain — Buyers Queue, Sellers Absent - Markets Mojo",EUROTEXIND,news_rss,0.5027540922164917
2026-06-11,Broad-Based Technical Strength Lifts Eurotex Industries and Exports Ltd to 52-Week High of Rs 24.54 - Markets Mojo,Broad-Based Technical Strength Lifts Eurotex Industries and Exports Ltd to 52-Week High of Rs 24.54 - Markets Mojo,EUROTEXIND,news_rss,0.9437876343727112
2026-06-11,"Eurotex Industries and Exports Ltd Locks at Lower Circuit With 9.99% Loss — Sellers Queue, No Buyers in Sight - Markets Mojo","Eurotex Industries and Exports Ltd Locks at Lower Circuit With 9.99% Loss — Sellers Queue, No Buyers in Sight - Markets Mojo",EUROTEXIND,news_rss,-0.9424939751625061
2026-06-09,Eurotex Industries and Exports Ltd Upgraded to Sell on Technical Improvements - Markets Mojo,Eurotex Industries and Exports Ltd Upgraded to Sell on Technical Improvements - Markets Mojo,EUROTEXIND,news_rss,0.9458198547363281
2026-06-10,"Eurotex Industries and Exports Ltd Locks at Upper Circuit With 20% Gain — Buyers Queue, Sellers Absent - Markets Mojo","Eurotex Industries and Exports Ltd Locks at Upper Circuit With 20% Gain — Buyers Queue, Sellers Absent - Markets Mojo",EUROTEXIND,news_rss,0.7662537097930908
2026-06-09,"Eurotex Industries and Exports Ltd Locks at Upper Circuit With 20% Gain — Buyers Queue, Sellers Absent - Markets Mojo","Eurotex Industries and Exports Ltd Locks at Upper Circuit With 20% Gain — Buyers Queue, Sellers Absent - Markets Mojo",EUROTEXIND,news_rss,0.7662537097930908
2026-05-28,Eurotex Industries Upgraded to Sell on Technical Improvements Despite Weak Fundamentals - Markets Mojo,Eurotex Industries Upgraded to Sell on Technical Improvements Despite Weak Fundamentals - Markets Mojo,EUROTEXIND,news_rss,0.9303203225135803
2026-05-23,Eurotex Industries Q4 FY26: Losses Deepen as Operations Collapse - Markets Mojo,Eurotex Industries Q4 FY26: Losses Deepen as Operations Collapse - Markets Mojo,EUROTEXIND,news_rss,-0.9611536860466003
2026-05-13,Eurotex Industries Downgraded to Strong Sell Amid Technical and Fundamental Concerns - Markets Mojo,Eurotex Industries Downgraded to Strong Sell Amid Technical and Fundamental Concerns - Markets Mojo,EUROTEXIND,news_rss,-0.9659380912780762
2026-06-09,"NLC India Share Price: Government ki Bechaini, Stock Gira! Kya Eurotex aur Suven Life Sciences Bannenge Naye Star? - Whalesbook","NLC India Share Price: Government ki Bechaini, Stock Gira! Kya Eurotex aur Suven Life Sciences Bannenge Naye Star? - Whalesbook",EUROTEXIND,news_rss,0.0
2026-06-09,Eurotex Industries & Exports Announces Demise of Non-Executive Director and Promoter - TipRanks,Eurotex Industries & Exports Announces Demise of Non-Executive Director and Promoter - TipRanks,EUROTEXIND,news_rss,-0.5728541612625122
